都市,区名,平均地価,予測値,残差,zscore
大阪市,港区,305857,362102.0793830662,-56245.079383066215,-0.16536001381342325
大阪市,大正区,200750,560963.6629235637,-360213.66292356374,-0.3896935697825683
大阪市,天王寺区,834272,434995.25270585483,399276.74729414517,0.17082219952522873
大阪市,浪速区,831833,665945.3529822533,165887.6470177467,-0.0014225968929127972
大阪市,西淀川区,196571,567677.8640528598,-371106.86405285983,-0.39773292212865224
大阪市,東淀川区,295560,103476.9301791414,192083.0698208586,0.01791003373322031
大阪市,東成区,335000,704042.5526311896,-369042.5526311896,-0.39620942810023296
大阪市,生野区,205133,860908.8782129694,-655775.8782129694,-0.6078230948594804
大阪市,旭区,273769,299391.5742831328,-25622.574283132795,-0.14276012739839802
大阪市,城東区,321888,711343.455791393,-389455.45579139295,-0.4112744690338863
大阪市,阿倍野区,770250,833890.178187274,-63640.178187274025,-0.17081771208002744
大阪市,住吉区,314952,1343560.2889637067,-1028608.2889637067,-0.8829792294509969
大阪市,東住吉区,265794,-53164.406740457576,318958.4067404576,0.11154601138735498
大阪市,西成区,224928,1092259.1785012302,-867331.1785012302,-0.7639542063217375
大阪市,淀川区,501428,835511.9183239551,-334083.91832395515,-0.3704094106950724
大阪市,鶴見区,286333,596319.3259886076,-309986.3259886076,-0.35262501167620763
大阪市,住之江区,222133,388862.58747277013,-166729.58747277013,-0.24689930412617664
大阪市,平野区,199083,520866.7664370814,-321783.7664370814,-0.36133170674421206
大阪市,北区,3980764,1463347.705149971,2517416.294850029,1.7340422244617235
大阪市,中央区,4393844,5484645.673270464,-1090801.673270464,-0.9288789171647164
福岡市,東区,209798,116614.89027905569,93183.10972094431,-0.055079679466744094
福岡市,博多区,1343813,1271989.3287112114,71823.67128878855,-0.07084327819519998
福岡市,中央区,1652265,5338583.647271535,-3686318.6472715354,-2.844410928973302
福岡市,南区,324683,613283.2381536331,-288600.2381536331,-0.33684174527279287
福岡市,西区,201293,914441.0893583569,-713148.0893583569,-0.6501646815792232
福岡市,城南区,228463,251876.8435227964,-23413.843522796407,-0.14113004964538353
福岡市,早良区,349056,824275.1368169489,-475219.1368169489,-0.4745694033766756
